id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
,#country+name,#country+iso3,#geo+lat,#geo+lon,,,#event+displacement_type,#total,#affected+displaced,#date+displacement,#date+displacement+start,#date+displacement+end,#date+year,,#event+name,,,#date+event+start,#date+event+end,,,#event+type,#event+subtype,,,,,,,,,#date+created,#description,#meta+url,#cause
159904,Yemen,YEM,14.915855,45.072370500000005,"[14.915855, 45.072370500000005]",Recommended figure,Conflict,total,6,2024-08-10,2024-08-04,2024-08-10,2024,26416,Yemen: Non-International armed conflict (NIAC) - Al Bayda - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,"Madinat Marib, Marib Governorate, Yemen; Rada'a, Al Bayda' Governorate, Yemen","15.41567, 45.303421; 14.41604, 44.84132",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2024-08-28T10:04:40.546460Z,"Yemen: 6 displacements, 04 August - 10 August. According to IOM DTM Yemen, one household was displaced from Rada'a to Madinat Marib due to conflict reasons between 04 August and 10 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,Conflict
159908,Yemen,YEM,13.99456,43.286877000000004,"[13.99456, 43.286877000000004]",Recommended figure,Conflict,total,36,2024-08-10,2024-08-04,2024-08-10,2024,26410,Yemen: Non-International armed conflict (NIAC) - Al Hodeidah - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,"Al Khawkhah, Al Hudaydah Governorate, Yemen; At Tahaytha, Al Hudaydah Governorate, Yemen","13.80556, 43.347382; 14.18356, 43.226372",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2024-08-28T10:04:40.786123Z,"Yemen: 36 displacements, 04 August - 10 August. According to IOM DTM Yemen, a total of 6 households were displaced from At Tahaytha to Al Khawkhah due to conflict reasons between 04 August and 10 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,Conflict
159905,Yemen,YEM,15.336275,44.196380500000004,"[15.336275, 44.196380500000004]",Recommended figure,Conflict,total,12,2024-08-10,2024-08-04,2024-08-10,2024,26410,Yemen: Non-International armed conflict (NIAC) - Al Hodeidah - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,"Ad Dahi, Al Hudaydah Governorate, Yemen; Marib, Marib Governorate, Yemen","15.21467, 43.06974; 15.45788, 45.323021",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2024-08-28T10:04:40.628475Z,"Yemen: 12 displacements, 04 August - 10 August. According to IOM DTM Yemen, a total of 2 households were displaced from Ad Dahi to Marib due to conflict reasons between 04 August and 10 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,Conflict
159915,Yemen,YEM,13.616900000000001,43.7886565,"[13.616900000000001, 43.7886565]",Recommended figure,Conflict,total,90,2024-08-10,2024-08-04,2024-08-10,2024,26415,Yemen: Non-International armed conflict (NIAC) - Taiz - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,"Al Maafiri, Ta'izz Governorate, Yemen; Jabal Habashi, Ta'izz Governorate, Yemen","13.75991, 43.689251; 13.47389, 43.888062",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2024-08-28T10:04:41.134082Z,"Yemen: 90 displacements, 04 August - 10 August. According to IOM DTM Yemen, a total of 15 households were displaced from Al Maafiri to Jabal Habashi due to conflict reasons between 04 August and 10 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,Conflict
159913,Yemen,YEM,14.44117,45.085045,"[14.44117, 45.085045]",Recommended figure,Conflict,total,6,2024-08-10,2024-08-04,2024-08-10,2024,26412,Yemen: Non-International armed conflict (NIAC) - Lahj - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,"Al Hauta, Lahij Governorate, Yemen; Madinat Marib, Marib Governorate, Yemen","13.46667, 44.866669; 15.41567, 45.303421",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2024-08-28T10:04:41.049297Z,"Yemen: 6 displacements, 04 August - 10 August. According to IOM DTM Yemen, one household was displaced from Al Hauta to Madinat Marib due to conflict reasons between 04 August and 10 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,Conflict
159906,Yemen,YEM,14.03206,43.43585,"[14.03206, 43.43585]",Recommended figure,Conflict,total,48,2024-08-10,2024-08-04,2024-08-10,2024,26410,Yemen: Non-International armed conflict (NIAC) - Al Hodeidah - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,"Al Jarrahi, Al Hudaydah Governorate, Yemen; Hays, Al Hudaydah Governorate, Yemen","14.13242, 43.388599; 13.9317, 43.483101",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2024-08-28T10:04:40.673089Z,"Yemen: 48 displacements, 04 August - 10 August. According to IOM DTM Yemen, a total of 8 households were displaced from Al Jarrahi to Hays due to conflict reasons between 04 August and 10 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,Conflict
159912,Yemen,YEM,14.741824999999999,44.6626395,"[14.741824999999999, 44.6626395]",Recommended figure,Conflict,total,6,2024-08-10,2024-08-04,2024-08-10,2024,26411,Yemen: Non-International armed conflict (NIAC) - Ibb - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,"Hazm al Udayn, Ibb Governorate, Yemen; Marib, Marib Governorate, Yemen","14.02577, 44.002258; 15.45788, 45.323021",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2024-08-28T10:04:41.002970Z,"Yemen: 6 displacements, 04 August - 10 August. According to IOM DTM Yemen, one household was displaced from Hazm al Udayn to Marib due to conflict reasons between 04 August and 10 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-18-24-aug-2024,Conflict
159901,Yemen,YEM,13.7331,43.5166665,"[13.7331, 43.5166665]",Recommended figure,Conflict,total,6,2024-08-03,2024-08-01,2024-08-03,2024,26415,Yemen: Non-International armed conflict (NIAC) - Taiz - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,"Al Khawkhah, Al Hudaydah Governorate, Yemen; Maqbanah, Ta'izz Governorate, Yemen","13.80556, 43.347382; 13.66064, 43.685951",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2024-08-28T09:53:01.266387Z,"Yemen: 6 displacements, 01 August - 03 August. According to IOM DTM Yemen, one household was displaced from Maqbanah to Al Khawkhah due to conflict reasons between 01 August and 03 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,Conflict
159895,Yemen,YEM,13.9317,43.483101,"[13.9317, 43.483101]",Recommended figure,Conflict,total,6,2024-08-03,2024-08-01,2024-08-03,2024,26410,Yemen: Non-International armed conflict (NIAC) - Al Hodeidah - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,"Hays, Al Hudaydah Governorate, Yemen; Hays, Al Hudaydah Governorate, Yemen","13.9317, 43.483101; 13.9317, 43.483101",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2024-08-28T09:53:00.869407Z,"Yemen: 6 displacements, 01 August - 03 August. According to IOM DTM Yemen, one household was displaced from Hays to Hays due to conflict reasons between 01 August and 03 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,Conflict
159902,Yemen,YEM,13.79617,43.584526,"[13.79617, 43.584526]",Recommended figure,Conflict,total,12,2024-08-03,2024-08-01,2024-08-03,2024,26415,Yemen: Non-International armed conflict (NIAC) - Taiz - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,"Hays, Al Hudaydah Governorate, Yemen; Maqbanah, Ta'izz Governorate, Yemen","13.9317, 43.483101; 13.66064, 43.685951",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2024-08-28T09:53:01.327999Z,"Yemen: 12 displacements, 01 August - 03 August. According to IOM DTM Yemen, a total of 2 households were displaced from Maqbanah to Hays due to conflict reasons between 01 August and 03 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,Conflict
159896,Yemen,YEM,13.810965,43.629221,"[13.810965, 43.629221]",Recommended figure,Conflict,total,6,2024-08-03,2024-08-01,2024-08-03,2024,26410,Yemen: Non-International armed conflict (NIAC) - Al Hodeidah - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,"Al Madahif, Ta'izz Governorate, Yemen; Zabid, Al Hudaydah Governorate, Yemen","13.42683, 43.94326; 14.1951, 43.315182",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2024-08-28T09:53:00.908153Z,"Yemen: 6 displacements, 01 August - 03 August. According to IOM DTM Yemen, one household was displaced from Zabid to Al Madahif due to conflict reasons between 01 August and 03 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,Conflict
159890,Yemen,YEM,13.96899,43.367990500000005,"[13.96899, 43.367990500000005]",Recommended figure,Conflict,total,6,2024-08-03,2024-08-01,2024-08-03,2024,26410,Yemen: Non-International armed conflict (NIAC) - Al Hodeidah - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,"Al Jarrahi, Al Hudaydah Governorate, Yemen; Al Khawkhah, Al Hudaydah Governorate, Yemen","14.13242, 43.388599; 13.80556, 43.347382",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2024-08-28T09:53:00.662241Z,"Yemen: 6 displacements, 01 August - 03 August. According to IOM DTM Yemen, one household was displaced from Al Jarrahi to Al Khawkhah due to conflict reasons between 01 August and 03 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,Conflict
159891,Yemen,YEM,15.121705,44.1066515,"[15.121705, 44.1066515]",Recommended figure,Conflict,total,6,2024-08-03,2024-08-01,2024-08-03,2024,26410,Yemen: Non-International armed conflict (NIAC) - Al Hodeidah - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,"Al Mina, Al Hudaydah Governorate, Yemen; Madinat Marib, Marib Governorate, Yemen","14.82774, 42.909882; 15.41567, 45.303421",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2024-08-28T09:53:00.704694Z,"Yemen: 6 displacements, 01 August - 03 August. According to IOM DTM Yemen, one household was displaced from Al Mina to Madinat Marib due to conflict reasons between 01 August and 03 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,Conflict
159898,Yemen,YEM,13.14291,44.167255499999996,"[13.14291, 44.167255499999996]",Recommended figure,Conflict,total,192,2024-08-03,2024-08-01,2024-08-03,2024,26412,Yemen: Non-International armed conflict (NIAC) - Lahj - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,"Mowaza, Ta'izz Governorate, Yemen; Tuban, Lahij Governorate, Yemen","13.26831, 43.50993; 13.01751, 44.824581",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Destination; Origin,Displacement without preventive evacuations reported,2024-08-28T09:53:00.998764Z,"Yemen: 192 displacements, 01 August - 03 August. According to IOM DTM Yemen, a total of 32 households were displaced from Tuban to Mowaza due to conflict reasons between 01 August and 03 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,Conflict
159903,Yemen,YEM,13.51577,43.808521,"[13.51577, 43.808521]",Recommended figure,Conflict,total,6,2024-08-03,2024-08-01,2024-08-03,2024,26415,Yemen: Non-International armed conflict (NIAC) - Taiz - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,"Maqbanah, Ta'izz Governorate, Yemen; Salah, Ta'izz Governorate, Yemen","13.66064, 43.685951; 13.3709, 43.931091",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2024-08-28T09:53:01.383930Z,"Yemen: 6 displacements, 01 August - 03 August. According to IOM DTM Yemen, one household was displaced from Maqbanah to Salah due to conflict reasons between 01 August and 03 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,Conflict
159892,Yemen,YEM,14.1447,43.465296,"[14.1447, 43.465296]",Recommended figure,Conflict,total,18,2024-08-03,2024-08-01,2024-08-03,2024,26410,Yemen: Non-International armed conflict (NIAC) - Al Hodeidah - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,"Al Mina, Al Hudaydah Governorate, Yemen; Al Misrakh, Ta'izz Governorate, Yemen","14.82774, 42.909882; 13.46166, 44.02071",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2024-08-28T09:53:00.745745Z,"Yemen: 18 displacements, 01 August - 03 August. According to IOM DTM Yemen, a total of 3 households were displaced from Al Mina to Al Misrakh due to conflict reasons between 01 August and 03 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,Conflict
159893,Yemen,YEM,14.003135,43.444931,"[14.003135, 43.444931]",Recommended figure,Conflict,total,6,2024-08-03,2024-08-01,2024-08-03,2024,26410,Yemen: Non-International armed conflict (NIAC) - Al Hodeidah - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,"Al Mina, Al Hudaydah Governorate, Yemen; Ash Shamayatayn, Ta'izz Governorate, Yemen","14.82774, 42.909882; 13.17853, 43.97998",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2024-08-28T09:53:00.785101Z,"Yemen: 6 displacements, 01 August - 03 August. According to IOM DTM Yemen, one household was displaced from Al Mina to Ash Shamayatayn due to conflict reasons between 01 August and 03 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,Conflict
159899,Yemen,YEM,15.028939999999999,44.5865095,"[15.028939999999999, 44.5865095]",Recommended figure,Conflict,total,6,2024-08-03,2024-08-01,2024-08-03,2024,26413,Yemen: Non-International armed conflict (NIAC) - Raymah - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,"As Salafiyah, Raymah Governorate, Yemen; Marib, Marib Governorate, Yemen","14.6, 43.849998; 15.45788, 45.323021",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2024-08-28T09:53:01.067427Z,"Yemen: 6 displacements, 01 August - 03 August. According to IOM DTM Yemen, one household was displaced from As Salafiyah to Marib due to conflict reasons between 01 August and 03 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,Conflict
159897,Yemen,YEM,14.766169999999999,44.685045,"[14.766169999999999, 44.685045]",Recommended figure,Conflict,total,6,2024-08-03,2024-08-01,2024-08-03,2024,26411,Yemen: Non-International armed conflict (NIAC) - Ibb - 01/08/2024,,,2024-08-01,2024-08-31,,,,,,IOM DTM Yemen,https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,"Hubaysh, Ibb Governorate, Yemen; Madinat Marib, Marib Governorate, Yemen","14.11667, 44.066669; 15.41567, 45.303421",District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Destination,Displacement without preventive evacuations reported,2024-08-28T09:53:00.949324Z,"Yemen: 6 displacements, 01 August - 03 August. According to IOM DTM Yemen, one household was displaced from Hubaysh to Madinat Marib due to conflict reasons between 01 August and 03 August.",https://dtm.iom.int/datasets/yemen-rapid-displacement-tracking-dataset-11-17-aug-2024,Conflict
